model_id,max_speed,displacement,doors,seats,type_id,transmission,fuel,horsepower,price
74,250.0,3.0,2,4,3,manual,electrico,208 HP,33629.32
75,250.0,4.4,4,5,3,manual,híbrido,252 HP,151932.7
76,250.0,4.4,2,4,3,manual,gasolina,338 HP,69648.09
77,250.0,4.4,4,5,3,automatic,diesel,275 HP,83153.9
78,250.0,4.4,5,5,2,automatic,diesel,402 HP,32067.48
79,250.0,4.4,5,4,2,automatic,gasolina,441 HP,165833.86
81,250.0,4.0,2,4,9,manual,híbrido,183 HP,62874.0
82,212.0,2.0,2,4,12,manual,híbrido,404 HP,142084.02
83,213.0,2.0,2,4,3,manual,gasolina,298 HP,30112.25
84,230.0,2.0,2,4,3,manual,diesel,261 HP,159123.17
85,229.0,2.0,5,5,6,automatic,híbrido,373 HP,27914.64
86,214.0,2.0,2,4,9,automatic,híbrido,327 HP,40016.15
87,250.0,3.0,4,5,3,automatic,gasolina,435 HP,148487.3
88,228.0,2.0,5,5,7,manual,electrico,353 HP,111796.64
89,218.0,2.0,2,4,3,automatic,diesel,134 HP,86058.41
91,250.0,2.0,2,4,9,manual,híbrido,309 HP,21185.66
92,0.0,2.0,2,4,3,manual,gasolina,480 HP,48963.18
93,236.0,2.0,4,5,3,automatic,híbrido,187 HP,167414.86
94,240.0,2.0,5,5,6,manual,gasolina,161 HP,55563.31
95,250.0,3.0,4,5,3,manual,electrico,379 HP,193588.14
96,225.0,2.0,5,5,7,manual,gasolina,231 HP,72158.12
98,250.0,3.0,2,4,12,automatic,electrico,326 HP,120273.53
99,250.0,3.0,2,4,3,automatic,híbrido,239 HP,158214.88
100,250.0,3.0,4,4,3,manual,electrico,364 HP,42025.09
101,250.0,3.0,4,5,3,automatic,diesel,384 HP,58233.3
102,250.0,3.0,4,5,3,automatic,diesel,379 HP,174347.12
103,210.0,2.0,5,5,2,manual,diesel,119 HP,93527.5
104,212.0,2.0,5,5,2,manual,electrico,354 HP,134084.7
105,230.0,3.0,5,5,2,automatic,electrico,244 HP,108745.18
106,240.0,3.0,5,4,2,manual,híbrido,162 HP,37487.42
107,250.0,4.4,5,4,2,manual,gasolina,453 HP,135530.65
108,232.0,2.0,2,2,9,manual,gasolina,448 HP,110842.07
109,150.0,0.0,5,4,4,manual,gasolina,114 HP,73083.4
110,250.0,1.5,2,4,10,automatic,diesel,255 HP,151254.04
118,210.0,1.6,5,5,4,manual,diesel,287 HP,40167.25
124,226.0,1.8,4,5,3,manual,diesel,309 HP,74951.29
126,210.0,3.0,5,5,2,automatic,diesel,285 HP,94894.84
127,240.0,2.0,2,4,10,automatic,híbrido,319 HP,63592.3
128,0.0,2.0,5,5,4,manual,híbrido,209 HP,60852.46
129,250.0,5.5,4,4,3,manual,electrico,187 HP,45234.36
130,250.0,6.2,4,5,3,manual,híbrido,355 HP,172231.07
131,250.0,5.5,5,7,2,automatic,electrico,203 HP,101227.38
132,210.0,5.5,5,5,2,automatic,híbrido,472 HP,73931.26
133,250.0,5.5,5,5,2,manual,electrico,402 HP,89863.83
134,250.0,5.5,2,2,9,automatic,híbrido,365 HP,80611.23
135,317.0,6.2,2,2,10,manual,gasolina,450 HP,33589.93
136,250.0,5.5,2,2,9,automatic,diesel,377 HP,129219.3
137,0.0,5.5,4,5,3,automatic,gasolina,396 HP,140255.11
143,250.0,2.0,4,5,3,manual,gasolina,134 HP,136337.09
144,130.0,2.1,3,3,5,automatic,gasolina,425 HP,128137.37
145,180.0,2.5,5,7,1,automatic,gasolina,196 HP,154553.3
146,180.0,2.1,4,9,1,manual,híbrido,361 HP,80095.11
147,202.0,1.6,5,5,4,manual,gasolina,385 HP,31247.82
148,240.0,2.0,4,5,3,manual,híbrido,442 HP,42052.58
149,250.0,3.5,4,4,3,automatic,electrico,413 HP,79405.62
150,250.0,3.5,5,5,7,manual,gasolina,166 HP,91662.61
152,226.0,1.8,5,5,7,automatic,electrico,118 HP,166689.65
153,245.0,2.0,2,4,3,manual,gasolina,103 HP,49352.55
154,240.0,2.0,2,4,3,manual,diesel,351 HP,182377.29
156,250.0,3.0,5,7,2,automatic,diesel,124 HP,84585.81
157,210.0,5.5,5,5,2,automatic,híbrido,346 HP,108763.44
158,0.0,3.0,5,5,2,automatic,diesel,141 HP,151811.24
159,240.0,3.0,5,7,1,manual,diesel,224 HP,89110.95
160,237.0,1.8,2,2,9,automatic,gasolina,291 HP,189627.79
161,250.0,3.5,2,2,9,automatic,diesel,270 HP,39172.97
162,250.0,3.0,4,5,3,automatic,híbrido,183 HP,131662.16
163,250.0,3.5,4,5,3,automatic,gasolina,330 HP,30011.7
164,0.0,3.0,5,8,1,automatic,electrico,450 HP,37072.16
182,190.0,1.6,5,5,4,automatic,híbrido,207 HP,157067.72
187,192.0,1.4,5,5,2,manual,electrico,137 HP,41918.36
188,180.0,2.4,5,7,1,manual,híbrido,375 HP,100832.71
189,175.0,2.4,5,7,1,automatic,gasolina,139 HP,100473.62
190,205.0,1.6,4,5,3,manual,electrico,363 HP,164569.58
191,240.0,2.0,4,5,3,manual,diesel,119 HP,58837.92
192,235.0,2.0,4,5,3,manual,diesel,219 HP,198217.05
193,180.0,2.4,4,5,3,manual,electrico,308 HP,122672.31
194,177.0,1.5,4,5,3,manual,electrico,376 HP,151709.03
195,220.0,3.0,4,5,3,manual,híbrido,477 HP,20688.07
196,185.0,1.6,4,5,3,manual,híbrido,403 HP,162651.26
197,185.0,1.6,5,5,4,automatic,híbrido,458 HP,49826.68
201,210.0,2.0,5,5,2,automatic,híbrido,223 HP,182083.09
202,174.0,3.6,5,7,2,automatic,híbrido,250 HP,28923.32
209,0.0,2.4,5,7,1,manual,diesel,483 HP,44955.52
210,0.0,1.5,4,5,3,manual,híbrido,376 HP,130299.95
211,202.0,2.4,5,5,6,manual,híbrido,454 HP,143401.7
212,195.0,1.8,4,5,3,automatic,diesel,281 HP,174531.15
215,0.0,1.5,5,5,4,automatic,diesel,458 HP,109582.6
216,0.0,1.5,3,4,10,manual,electrico,427 HP,46758.37
217,0.0,1.3,5,5,4,automatic,gasolina,232 HP,112703.57
247,180.0,1.3,5,5,6,automatic,diesel,463 HP,118033.3
248,185.0,2.4,5,7,1,manual,electrico,232 HP,168315.21
249,187.0,1.8,5,5,4,automatic,gasolina,297 HP,152522.94
250,210.0,2.0,4,5,3,manual,gasolina,375 HP,163079.19
251,199.0,1.8,4,5,3,manual,electrico,261 HP,54461.41
252,182.0,2.0,5,5,2,automatic,híbrido,346 HP,105909.61
255,165.0,1.4,5,5,4,automatic,diesel,167 HP,57524.75
256,165.0,1.6,2,4,3,manual,electrico,487 HP,58208.46
257,202.0,1.6,5,5,2,manual,gasolina,382 HP,185736.59
259,195.0,1.6,5,5,4,automatic,diesel,117 HP,55708.05
260,179.0,1.6,4,5,3,manual,diesel,128 HP,135521.46
261,194.0,1.6,4,5,3,manual,híbrido,144 HP,94558.5
262,215.0,1.6,4,5,3,automatic,electrico,442 HP,24362.1
263,210.0,2.0,4,5,3,manual,electrico,486 HP,54126.4
265,195.0,1.6,5,5,11,manual,electrico,179 HP,61652.95
266,195.0,1.6,2,4,9,manual,diesel,273 HP,129537.59
267,198.0,1.6,5,5,7,manual,electrico,195 HP,101140.16
268,184.0,2.0,5,5,2,automatic,electrico,205 HP,178964.61
269,212.0,1.6,2,4,10,manual,diesel,208 HP,149038.76
293,205.0,1.6,2,4,9,automatic,diesel,225 HP,127700.33
294,151.0,1.0,5,5,4,automatic,electrico,284 HP,45688.22
295,150.0,1.0,4,5,3,manual,diesel,473 HP,88893.72
296,170.0,1.5,5,5,4,manual,gasolina,390 HP,173932.88
297,175.0,1.8,4,5,3,automatic,híbrido,193 HP,166727.27
298,170.0,1.5,4,5,3,automatic,diesel,133 HP,156612.95
299,0.0,1.5,5,5,4,automatic,gasolina,411 HP,164857.61
300,0.0,1.5,4,5,3,manual,electrico,109 HP,109486.79
301,0.0,1.5,4,5,3,manual,híbrido,169 HP,112839.81
302,170.0,1.5,4,5,3,automatic,electrico,408 HP,191483.59
303,180.0,2.0,5,7,1,manual,electrico,318 HP,180011.21
304,180.0,1.5,5,5,2,manual,diesel,112 HP,122550.2
306,140.0,0.0,5,5,1,automatic,diesel,131 HP,113118.4
307,185.0,1.5,4,5,3,automatic,electrico,168 HP,120702.98
308,0.0,1.5,4,5,3,manual,gasolina,380 HP,87799.43
309,0.0,1.5,4,5,3,manual,electrico,423 HP,30283.28
314,0.0,1.5,4,5,3,automatic,híbrido,193 HP,140566.03
315,262.0,2.7,2,2,12,manual,diesel,376 HP,30270.25
316,223.0,2.0,5,5,2,automatic,diesel,452 HP,104152.13
317,262.0,3.0,5,4,10,manual,híbrido,300 HP,112013.76
318,270.0,3.0,5,4,10,automatic,electrico,228 HP,144683.3
319,283.0,3.4,2,4,10,manual,híbrido,229 HP,145409.44
320,345.0,4.6,2,2,9,automatic,diesel,488 HP,69318.13
321,239.0,3.0,5,5,2,automatic,gasolina,187 HP,134768.99
322,242.0,3.0,5,5,2,manual,diesel,225 HP,64107.71
326,264.0,2.7,2,2,10,automatic,híbrido,181 HP,178447.15
327,150.0,2.4,2,4,2,automatic,híbrido,337 HP,102771.32
328,160.0,1.3,4,5,3,manual,electrico,188 HP,54624.69
342,170.0,1.3,5,5,4,automatic,electrico,404 HP,73984.11
343,182.0,1.5,5,5,4,manual,gasolina,403 HP,124962.9
344,175.0,1.5,4,5,3,automatic,gasolina,169 HP,155798.65
345,150.0,1.5,5,7,1,automatic,diesel,213 HP,41123.29
346,140.0,1.0,5,5,4,manual,gasolina,377 HP,45684.27
347,182.0,1.5,5,5,4,automatic,electrico,117 HP,86374.54
348,160.0,1.5,5,5,2,automatic,electrico,396 HP,168729.75
349,160.0,1.5,5,7,2,manual,híbrido,348 HP,110444.33
350,120.0,1.0,5,7,5,automatic,gasolina,362 HP,91986.82
351,0.0,1.2,5,9,5,automatic,híbrido,110 HP,186369.6
352,150.0,1.5,5,7,5,manual,híbrido,343 HP,154731.79
353,130.0,1.2,5,2,5,automatic,gasolina,106 HP,23724.73
354,120.0,0.0,5,5,4,manual,híbrido,157 HP,121688.49
355,115.0,2.0,4,5,2,manual,híbrido,240 HP,182413.98
356,150.0,2.4,5,7,2,manual,diesel,308 HP,181974.29
357,110.0,2.8,4,5,8,manual,híbrido,320 HP,154589.86
358,150.0,2.0,5,5,2,manual,gasolina,359 HP,125317.48
359,145.0,2.2,4,5,8,automatic,diesel,374 HP,133976.24
360,150.0,2.7,3,5,2,automatic,electrico,315 HP,184935.53
361,150.0,2.0,5,5,2,manual,electrico,216 HP,134198.71
362,125.0,2.8,4,5,8,automatic,híbrido,236 HP,168277.67
363,115.0,2.0,3,4,2,manual,gasolina,184 HP,183978.34
364,190.0,1.6,4,5,3,automatic,gasolina,337 HP,99930.94
365,215.0,1.8,4,5,3,automatic,gasolina,413 HP,113043.54
366,198.0,1.8,5,5,2,automatic,gasolina,373 HP,77380.82
367,215.0,1.8,4,5,3,automatic,gasolina,385 HP,84625.41
368,295.0,4.0,4,5,3,manual,gasolina,253 HP,94206.55
369,303.0,4.0,2,4,10,automatic,híbrido,457 HP,180719.68
374,296.0,6.8,4,5,3,automatic,electrico,279 HP,87602.92
375,407.0,8.0,2,2,10,manual,gasolina,332 HP,175205.13
377,0.0,1.5,5,5,11,automatic,diesel,301 HP,187639.29
378,185.0,1.5,4,5,3,automatic,diesel,372 HP,161690.29
379,160.0,1.3,5,5,4,manual,gasolina,295 HP,143788.88
380,158.0,1.5,5,5,2,manual,gasolina,375 HP,125045.29
381,171.0,1.5,5,5,2,automatic,electrico,305 HP,199213.09
382,170.0,1.5,5,7,1,automatic,diesel,402 HP,75289.29
383,0.0,2.2,4,5,8,manual,híbrido,254 HP,65956.45
384,140.0,2.0,4,5,8,manual,diesel,356 HP,86526.49
385,140.0,2.0,4,5,8,manual,gasolina,372 HP,130798.87
386,130.0,2.2,4,0,8,manual,gasolina,225 HP,82010.67
388,160.0,1.5,5,5,4,automatic,diesel,445 HP,160208.72
389,165.0,1.3,5,5,4,automatic,híbrido,250 HP,36554.55
391,162.0,1.3,5,5,4,manual,diesel,219 HP,135343.57
392,160.0,1.3,5,5,11,manual,gasolina,143 HP,118691.92
396,0.0,1.5,4,5,3,manual,híbrido,143 HP,141874.51
397,175.0,1.4,5,5,4,manual,electrico,277 HP,67300.04
398,158.0,1.0,5,5,4,manual,híbrido,288 HP,56452.05
399,180.0,1.6,5,5,2,automatic,electrico,109 HP,39856.52
400,0.0,1.8,5,5,2,automatic,diesel,107 HP,82580.12
401,175.0,1.4,5,5,4,automatic,diesel,468 HP,130969.08
402,170.0,1.6,5,5,4,automatic,gasolina,459 HP,178112.05
403,170.0,1.6,4,5,3,automatic,gasolina,233 HP,35508.21
405,185.0,1.5,4,5,3,manual,híbrido,166 HP,162157.28
406,175.0,1.3,4,5,3,manual,híbrido,347 HP,131292.89
407,190.0,1.5,4,5,3,automatic,electrico,459 HP,131803.54
409,170.0,1.5,5,5,4,automatic,híbrido,499 HP,101076.39
410,170.0,1.5,4,5,3,automatic,híbrido,200 HP,29799.01
411,185.0,1.5,5,5,4,manual,gasolina,283 HP,123257.15
412,210.0,1.8,4,5,3,automatic,diesel,190 HP,171277.14
413,175.0,1.6,4,5,3,automatic,híbrido,270 HP,100511.64
419,145.0,1.3,5,5,4,automatic,electrico,155 HP,155996.76
420,140.0,1.3,5,5,5,manual,electrico,345 HP,104635.8
421,94.0,0.8,2,2,0,manual,híbrido,185 HP,133769.03
423,110.0,1.0,4,5,0,manual,electrico,172 HP,86155.68
424,100.0,1.0,5,5,5,manual,híbrido,297 HP,109505.52
425,0.0,1.4,5,8,5,manual,híbrido,489 HP,82545.08
426,120.0,1.0,5,5,5,manual,diesel,158 HP,195672.98
427,0.0,1.2,5,5,4,manual,híbrido,302 HP,134632.42
430,90.0,1.0,2,2,0,automatic,diesel,233 HP,60391.09
431,120.0,1.0,5,5,4,manual,diesel,290 HP,163090.26
432,0.0,1.2,5,8,5,manual,híbrido,455 HP,83907.59
433,120.0,1.0,5,7,5,automatic,electrico,465 HP,194114.92
434,185.0,1.6,5,5,11,automatic,electrico,414 HP,177548.5
435,182.0,1.4,5,5,4,manual,híbrido,380 HP,133099.33
436,178.0,1.4,4,5,3,manual,diesel,359 HP,167612.71
438,200.0,1.4,5,5,11,manual,gasolina,354 HP,77135.28
439,200.0,1.4,5,5,4,automatic,electrico,226 HP,140062.92
440,205.0,1.4,4,5,3,manual,electrico,250 HP,119777.7
441,200.0,1.4,4,5,3,automatic,híbrido,220 HP,106834.32
442,210.0,1.8,4,5,3,manual,diesel,341 HP,78133.87
443,181.0,1.4,4,5,3,manual,híbrido,450 HP,173078.73
444,181.0,1.6,4,5,3,manual,electrico,295 HP,97811.06
445,190.0,1.4,5,5,1,manual,electrico,477 HP,79511.14
446,185.0,1.4,5,5,2,manual,híbrido,126 HP,92892.25
450,200.0,1.4,5,5,4,manual,electrico,100 HP,142797.59
451,207.0,1.4,5,5,11,manual,híbrido,401 HP,39274.98
453,236.0,2.0,2,4,9,manual,electrico,210 HP,117856.34
454,250.0,3.6,5,5,10,manual,híbrido,320 HP,109765.22
455,235.0,2.0,2,4,12,automatic,híbrido,472 HP,186140.41
456,250.0,2.0,5,5,4,manual,gasolina,222 HP,57882.67
457,250.0,2.0,2,4,12,automatic,diesel,274 HP,62433.79
458,216.0,1.4,2,4,12,automatic,diesel,158 HP,25182.93
459,218.0,1.4,5,5,7,automatic,híbrido,268 HP,77313.55
460,240.0,3.0,4,5,3,automatic,híbrido,464 HP,136181.91
461,180.0,1.2,3,4,6,manual,gasolina,166 HP,28312.17
462,200.0,2.0,4,9,1,automatic,híbrido,131 HP,133539.34
463,200.0,2.0,5,7,1,manual,electrico,155 HP,126070.73
464,233.0,2.0,5,5,7,automatic,híbrido,249 HP,97281.49
465,200.0,1.4,3,4,4,manual,híbrido,265 HP,111956.71
466,250.0,2.0,3,4,10,manual,gasolina,408 HP,199544.53
467,230.0,3.0,5,5,2,automatic,híbrido,236 HP,172736.41
468,240.0,3.0,5,5,2,automatic,híbrido,497 HP,100244.59
469,203.0,1.8,5,7,1,automatic,híbrido,234 HP,159703.51
473,227.0,2.0,5,5,7,automatic,gasolina,337 HP,62833.12
491,197.0,2.0,5,5,2,automatic,electrico,384 HP,80771.39
500,200.0,1.4,4,5,3,manual,diesel,194 HP,85704.6
501,204.0,1.4,5,5,4,manual,diesel,307 HP,42923.56
502,235.0,2.0,5,5,4,automatic,diesel,139 HP,189208.47
503,181.0,1.4,4,5,3,automatic,gasolina,407 HP,144584.0
504,200.0,1.4,4,5,3,manual,híbrido,352 HP,35238.98
505,200.0,1.4,4,5,3,manual,híbrido,463 HP,54143.89
506,235.0,2.0,4,5,3,automatic,gasolina,299 HP,110802.29
508,250.0,3.6,4,4,3,manual,diesel,177 HP,37355.18
509,202.0,1.6,5,5,4,manual,electrico,255 HP,193768.6
510,195.0,1.6,5,5,2,automatic,gasolina,382 HP,20122.16
511,205.0,1.6,4,5,3,automatic,gasolina,183 HP,49930.43
512,190.0,1.6,3,5,12,manual,híbrido,268 HP,134533.73
516,212.0,1.6,5,5,4,manual,diesel,491 HP,64567.21
517,200.0,5.7,4,5,8,manual,gasolina,434 HP,68226.49
518,0.0,2.4,5,7,2,manual,diesel,162 HP,51249.5
519,160.0,2.0,5,7,4,manual,híbrido,157 HP,110838.36
533,0.0,1.5,4,5,3,automatic,híbrido,175 HP,90686.97
534,0.0,1.5,5,5,4,automatic,gasolina,117 HP,118832.2
536,0.0,1.3,5,4,5,automatic,diesel,196 HP,118154.65
543,0.0,1.5,4,5,3,manual,gasolina,401 HP,180239.77
547,150.0,2.5,5,12,5,automatic,híbrido,143 HP,199983.69
548,170.0,2.0,5,7,1,manual,híbrido,157 HP,138535.27
549,165.0,1.5,4,5,3,manual,gasolina,389 HP,139258.52
551,0.0,1.5,5,5,2,manual,electrico,359 HP,122966.8
552,160.0,1.6,5,5,2,manual,diesel,404 HP,35275.16
553,145.0,1.5,4,5,1,automatic,híbrido,397 HP,146582.54
554,170.0,1.5,5,5,4,automatic,diesel,282 HP,172694.46
555,188.0,1.5,4,5,3,manual,gasolina,371 HP,27254.72
557,185.0,1.5,5,5,4,automatic,gasolina,133 HP,151515.02
558,183.0,1.6,5,5,4,automatic,gasolina,244 HP,156569.44
559,188.0,1.5,4,5,3,automatic,híbrido,251 HP,159019.79
563,186.0,1.5,4,5,3,automatic,diesel,260 HP,174890.3
565,140.0,2.2,4,5,8,manual,diesel,440 HP,148765.31
566,160.0,2.4,5,5,8,manual,diesel,244 HP,91441.57
567,170.0,1.5,5,5,1,manual,electrico,378 HP,151714.55
568,175.0,2.0,5,7,1,manual,gasolina,340 HP,41540.93
569,0.0,1.3,5,7,5,automatic,diesel,306 HP,43031.67
571,120.0,1.2,4,0,5,manual,híbrido,428 HP,138859.58
573,125.0,1.2,5,0,5,automatic,híbrido,463 HP,79627.97
574,115.0,1.0,5,5,5,manual,híbrido,129 HP,110014.96
576,105.0,1.0,5,5,5,automatic,híbrido,309 HP,183172.56
577,110.0,1.0,2,2,0,manual,gasolina,367 HP,58703.25
578,110.0,1.0,5,5,5,automatic,diesel,418 HP,42696.57
579,0.0,1.2,5,7,5,manual,diesel,219 HP,32910.12
580,145.0,1.2,5,8,1,manual,gasolina,347 HP,53397.6
586,185.0,1.5,4,5,3,manual,diesel,374 HP,149864.6
587,195.0,1.8,5,5,4,automatic,gasolina,362 HP,124123.63
588,180.0,1.8,4,5,3,manual,híbrido,470 HP,25689.61
589,186.0,2.3,5,5,1,automatic,diesel,194 HP,136588.17
590,195.0,1.6,5,5,4,automatic,gasolina,370 HP,115762.37
591,195.0,1.6,4,5,3,automatic,electrico,412 HP,54858.18
594,0.0,3.0,5,5,4,automatic,diesel,108 HP,39843.15
595,200.0,2.3,4,5,3,automatic,electrico,477 HP,37558.82
596,200.0,1.5,4,5,3,automatic,diesel,498 HP,43060.49
597,195.0,1.0,5,5,4,automatic,híbrido,106 HP,45213.2
599,170.0,2.4,0,6,5,automatic,híbrido,230 HP,63789.85
600,248.0,2.0,5,5,4,automatic,gasolina,270 HP,148769.69
601,0.0,5.4,2,5,8,manual,gasolina,452 HP,96878.68
602,0.0,6.7,4,5,8,automatic,electrico,395 HP,122263.93
603,0.0,6.7,4,5,8,manual,gasolina,281 HP,99881.04
604,0.0,6.7,4,5,8,automatic,gasolina,181 HP,65072.15
605,220.0,1.6,3,5,4,automatic,gasolina,479 HP,77668.97
606,0.0,2.0,5,5,2,automatic,electrico,317 HP,94501.81
607,0.0,3.5,5,7,2,manual,diesel,165 HP,94121.78
608,260.0,3.7,2,4,10,automatic,híbrido,110 HP,157926.48
641,196.0,1.4,4,5,3,automatic,gasolina,132 HP,80467.44
642,196.0,1.4,5,5,4,manual,electrico,108 HP,92765.58
645,197.0,1.4,5,5,4,manual,diesel,428 HP,174241.39
646,182.0,1.4,2,4,12,automatic,electrico,411 HP,113328.33
647,0.0,2.4,5,7,2,manual,híbrido,455 HP,56225.72
661,182.0,1.4,3,4,4,automatic,híbrido,343 HP,138655.42
662,316.0,3.9,2,4,9,manual,híbrido,366 HP,90541.59
663,325.0,4.5,2,2,10,manual,híbrido,123 HP,168572.14
664,330.0,6.0,2,2,10,automatic,electrico,368 HP,63517.78
667,335.0,6.3,2,4,10,automatic,diesel,408 HP,45452.02
670,340.0,6.3,3,2,10,automatic,híbrido,299 HP,171039.44
671,130.0,1.2,5,5,5,manual,diesel,401 HP,36284.72
672,175.0,1.6,4,5,3,automatic,electrico,179 HP,22621.5
673,0.0,1.6,4,5,3,manual,gasolina,228 HP,179329.02
674,185.0,1.8,5,5,2,manual,híbrido,194 HP,147163.54
680,190.0,1.6,4,5,3,manual,diesel,405 HP,142167.37
681,0.0,6.0,5,12,1,automatic,electrico,335 HP,182009.59
688,140.0,2.0,5,5,2,automatic,híbrido,227 HP,109083.16
689,0.0,2.0,5,5,2,automatic,híbrido,224 HP,61621.79
690,0.0,1.5,5,5,2,manual,híbrido,114 HP,186389.21
691,0.0,2.0,5,5,2,manual,híbrido,406 HP,126636.62
693,0.0,2.4,5,7,2,automatic,gasolina,308 HP,48238.2
699,0.0,1.5,5,5,2,manual,híbrido,426 HP,33717.65
707,140.0,1.0,5,5,4,manual,híbrido,292 HP,143415.98
708,138.0,1.0,5,7,5,manual,diesel,146 HP,70992.0
709,125.0,1.3,5,8,5,automatic,híbrido,249 HP,40143.31
710,110.0,1.0,5,5,5,manual,híbrido,109 HP,24490.13
711,120.0,1.0,5,5,5,manual,diesel,211 HP,160209.57
712,165.0,1.5,5,5,4,manual,diesel,482 HP,59008.11
714,150.0,1.3,5,8,5,manual,híbrido,446 HP,152691.33
716,140.0,1.0,5,5,4,automatic,híbrido,289 HP,21132.18
717,140.0,2.0,5,5,2,automatic,diesel,183 HP,114524.68
718,130.0,2.0,4,5,8,automatic,diesel,355 HP,49230.67
719,0.0,2.4,4,5,8,automatic,electrico,270 HP,162287.44
720,0.0,2.0,5,7,2,automatic,gasolina,270 HP,51880.46
721,0.0,2.0,5,5,2,automatic,diesel,209 HP,118406.42
722,0.0,1.9,5,5,4,automatic,híbrido,362 HP,164900.97
723,145.0,2.8,5,3,1,automatic,electrico,354 HP,197298.42
724,0.0,2.2,4,5,8,manual,electrico,494 HP,55459.49
725,130.0,2.2,4,5,8,manual,híbrido,122 HP,58171.88
726,140.0,2.2,4,5,8,automatic,electrico,146 HP,129978.44
727,120.0,2.2,4,5,8,automatic,híbrido,385 HP,45551.27
728,120.0,2.2,4,5,8,automatic,híbrido,199 HP,126553.99
729,100.0,2.4,4,15,5,manual,gasolina,313 HP,113072.35
731,130.0,2.4,4,5,8,manual,electrico,474 HP,44933.4
732,130.0,2.2,4,5,8,manual,diesel,326 HP,64782.47
733,140.0,2.8,4,6,5,automatic,gasolina,460 HP,51026.88
734,0.0,6.4,5,5,2,automatic,gasolina,114 HP,37552.08
735,180.0,2.8,4,5,2,manual,electrico,146 HP,90430.87
736,180.0,2.0,5,5,2,automatic,diesel,185 HP,70142.99
737,0.0,2.4,5,5,2,automatic,gasolina,106 HP,140186.37
738,180.0,2.0,5,5,2,automatic,híbrido,316 HP,30080.58
745,0.0,3.0,5,5,2,manual,diesel,129 HP,193753.4
746,260.0,3.0,2,2,10,manual,diesel,372 HP,67045.91
747,241.0,2.0,4,5,3,manual,electrico,339 HP,40400.08
756,209.0,2.0,4,5,3,manual,diesel,406 HP,71839.7
760,140.0,2.4,4,9,5,automatic,electrico,109 HP,181650.35
761,130.0,2.5,4,10,5,manual,electrico,222 HP,79039.1
762,140.0,2.4,4,8,5,automatic,gasolina,162 HP,133061.45
763,200.0,2.0,4,5,3,manual,diesel,329 HP,198806.51
765,215.0,2.0,4,5,3,manual,gasolina,298 HP,22673.71
766,215.0,2.0,4,5,3,automatic,electrico,266 HP,111524.91
767,220.0,2.0,4,5,3,automatic,diesel,498 HP,163887.52
770,210.0,3.0,5,5,2,automatic,electrico,372 HP,195689.02
771,0.0,6.2,5,7,2,manual,electrico,392 HP,159430.25
772,210.0,6.0,5,7,2,automatic,electrico,447 HP,30334.05
780,420.0,5.0,2,2,10,automatic,electrico,282 HP,163885.28
